TimeStamp,WashingMachine_Power,Heater_Power,AC_Power,VehicleCharger_Power,VacuumCleaner_Power
12/29/2023 17:28,0.027,0,0,0.0033,0
12/29/2023 17:29,0.0168,0,0,0,0
12/29/2023 17:30,0.021,0,0,0,0
12/29/2023 17:31,0.0241,0,0,0,0
12/29/2023 17:32,0.0218,0,0,0,0
12/29/2023 17:33,0.0031,0,0,0.0007,0
12/29/2023 17:34,0.0031,0,0,0.0007,0
12/29/2023 17:35,0.0031,0,0,0.0007,0
12/29/2023 17:36,0.0235,0,0,0.0073,0.0006
12/29/2023 17:37,0.0302,0,0,0.0073,0.0002
12/29/2023 17:38,0.0289,0,0,0.0075,0.0001
12/29/2023 17:39,0.0254,0,0,0.0073,0
12/29/2023 17:40,0.0269,0,0,0.0074,0
12/29/2023 17:41,0.0297,0,0,0.0074,0.0003
12/29/2023 17:42,0.0281,0,0,0.0072,0.0001
12/29/2023 17:43,0.0248,0,0,0.0074,0.0004
12/29/2023 17:44,0.0294,0,0,0.0109,0.0004
12/29/2023 17:45,0.0296,0,0,0.0114,0.0004
12/29/2023 17:46,0.0232,0,0,0.0138,0.0004
12/29/2023 17:47,0.0294,0,0,0.0139,0.0008
12/29/2023 17:48,0.0292,0,0,0.0111,0.0003
12/29/2023 17:49,0.0252,0,0,0.0119,0.0003
12/29/2023 17:50,0.027,0,0,0.0096,0.0007
12/29/2023 17:51,0.0299,0,0,0.0075,0.0003
12/29/2023 17:52,0.0273,0,0,0.0072,0.0003
12/29/2023 17:53,0.0264,0,0,0.0092,0.0004
12/29/2023 17:54,0.029,0,0,0.0071,0.001
12/29/2023 17:55,0.0293,0,0,0.0072,0.0001
12/29/2023 17:56,0.0236,0,0,0.0067,0.0003
12/29/2023 17:57,0.0292,0,0,0.0103,0
12/29/2023 17:58,0.0297,0,0,0.0071,0
12/29/2023 17:59,0.0256,0,0,0.0068,0.0003
12/29/2023 18:00,0.0269,0,0,0.0099,0.0005
12/29/2023 18:01,0.0296,0,0,0.0177,0.0007
12/29/2023 18:02,0.0284,0,0,0.0146,0.0003
12/29/2023 18:03,0.0253,0,0,0.0138,0.0003
12/29/2023 18:04,0.0288,0,0,0.0177,0.0003
12/29/2023 18:05,0.0294,0,0,0.0162,0
12/29/2023 18:06,0.0235,0,0,0.0162,0
12/29/2023 18:07,0.0288,0,0,0.0168,0.0001
12/29/2023 18:08,0.0297,0,0,0.0164,0.0001
12/29/2023 18:09,0.0255,0,0,0.0138,0.0004
12/29/2023 18:10,0.0352,0,0,0.0163,0
12/29/2023 18:11,0.0467,0,0,0.0142,0.0001
12/29/2023 18:12,0.0443,0,0,0.0164,0
12/29/2023 18:13,0.0429,0,0,0.0081,0
12/29/2023 18:14,0.0466,0,0,0.0074,0.0002
12/29/2023 18:15,0.0469,0,0,0.0077,0.0003
12/29/2023 18:16,0.041,0,0,0.0075,0.0001
12/29/2023 18:17,0.0457,0,0,0.0114,0.0001
12/29/2023 18:18,0.0475,0,0,0.0165,0.0004
12/29/2023 18:19,0.0997,0,0.7221,0.0168,0.0003
12/29/2023 18:20,0.1239,0,0.9607,0.0144,0.0003
12/29/2023 18:21,0.1245,0.0554,0.9722,0.0145,0.0001
12/29/2023 18:22,0.124,0.053,0.9737,0.0162,0.0003
12/29/2023 18:23,0.1201,0.0569,0.9752,0.0144,0
12/29/2023 18:24,0.1246,0.0568,0.9746,0.0144,0
12/29/2023 18:25,0.1238,0.0568,0.9733,0.0172,0
12/29/2023 18:26,0.1184,0.0566,0.8093,0.0147,0.0001
12/29/2023 18:27,0.1227,0.0563,0.0138,0.0089,0.0001
12/29/2023 18:28,0.1239,0.0562,0.0136,0.0074,0.0002
12/29/2023 18:29,0.1207,0.0562,0.1837,0.0077,0.0002
12/29/2023 18:30,0.1208,0.0564,0.9602,0.0077,0.0003
12/29/2023 18:31,0.1213,0.0562,0.9678,0.0076,0
12/29/2023 18:32,0.1224,0.0552,0.9905,0.0083,0
12/29/2023 18:33,0.1184,0.0552,0.9894,0.0087,0
12/29/2023 18:34,0.1245,0.0553,0.9918,0.0085,0.0001
12/29/2023 18:35,0.1228,0.0566,0.9743,0.0119,0.0005
12/29/2023 18:36,0.1178,0.0557,0.976,0.0181,0.0001
12/29/2023 18:37,0.1231,0.0146,0.015,0.0164,0.0001
12/29/2023 18:38,0.1231,0,0.0131,0.0145,0.0001
12/29/2023 18:39,0.1205,0,0.0254,0.0146,0.0003
12/29/2023 18:40,0.1204,0,0.9622,0.0147,0.0002
12/29/2023 18:41,0.1224,0,0.9678,0.0145,0.0002
12/29/2023 18:42,0.1239,0,0.9887,0.0135,0
12/29/2023 18:43,0.1174,0,0.9823,0.0154,0.0003
12/29/2023 18:44,0.1239,0,0.979,0.0172,0.0001
12/29/2023 18:45,0.1239,0,0.9841,0.0159,0.0001
12/29/2023 18:46,0.1175,0,0.6591,0.0214,0
12/29/2023 18:47,0.1112,0,0.0146,0.0237,0.0003
12/29/2023 18:48,0.1046,0,0.0144,0.0235,0
12/29/2023 18:49,0.1031,0,0.35,0.026,0
12/29/2023 18:50,0.1019,0,0.9692,0.0317,0.0157
12/29/2023 18:51,0.1048,0,0.977,0.0327,0.0159
12/29/2023 18:52,0.1045,0,0.9812,0.0286,0.0319
12/29/2023 18:53,0.0999,0,0.9934,0.0319,0.0464
12/29/2023 18:54,0.1052,0,0.9788,0.0333,0.0417
12/29/2023 18:55,0.1044,0.039,0.9728,0.0332,0.0426
12/29/2023 18:56,0.0999,0.0575,0.1726,0.0295,0.0433
12/29/2023 18:57,0.104,0.0575,0.0141,0.0316,0.0418
12/29/2023 18:58,0.1049,0.0576,0.0142,0.033,0.0423
12/29/2023 18:59,0.1019,0.058,0.8185,0.0336,0.0488
12/29/2023 19:00,0.1011,0.0584,0.9704,0.0235,0.0494
12/29/2023 19:01,0.1036,0.0584,0.9726,0.0216,0.042
12/29/2023 19:02,0.1032,0.0579,0.9832,0.0237,0.0419
12/29/2023 19:03,0.0988,0.0581,0.9791,0.0274,0.0423
12/29/2023 19:04,0.1057,0.0582,0.976,0.0278,0.0483
12/29/2023 19:05,0.105,0.0582,0.4932,0.0227,0.0418
12/29/2023 19:06,0.1003,0.0592,0.0136,0.0214,0.042
12/29/2023 19:07,0.1042,0.0576,0.0134,0.0214,0.0417
12/29/2023 19:08,0.1046,0.0578,0.4928,0.0216,0.0419
